id,ime,ocena,zaloga,cena
41685,Magical Funfair Roller Coaster,4.825,true,8999
41686,Magical Acrobatics,5,true,1799
41687,Magical Funfair Stalls,4.92,true,2499
41688,Magical Caravan,4.9302,true,4499
41689,Magical Ferris Wheel and Slide,4.8636,false,5499
41691,Doggy Day Care,4.8889,true,1799
41693,Surfer Beachfront,5,true,5999
41694,Pet Clinic Ambulance,4.9375,true,899
41695,Pet Clinic,4.875,true,1799
41696,Pony-Washing Stable,4.8667,true,899
41697,Turtle Protection Vehicle,4.8,true,899
41698,Pet Playground,4.9375,true,1799
41699,Pet Adoption Café,4.8684,true,2499
41700,Beach Glamping,4.92,true,3499
41701,Street Food Market,4.8182,true,4499
41702,Canal Houseboat,4.95,true,6499
41703,Friendship Tree House,4.7143,true,6999
41704,Main Street Building,4.9474,true,13999
41705,Heartlake City Pizzeria,4.9286,true,1299
41706,LEGO® Friends Advent Calendar,3,true,2199
41707,Tree-Planting Vehicle,4.9167,true,2499
41708,Roller Disco Arcade,4.9333,true,5499
41709,Vacation Beach House,5,true,5999
41710,Surfer Beach Fun,4.9375,true,2499
41711,Emma's Art School,4.8571,true,5999
41712,Recycling Truck,4.7059,true,1799
41713,Olivia's Space Academy,4.8571,true,5999
41714,Andrea's Theatre School,4.8715,true,8999
41715,Ice-Cream Truck,5,true,1799
41716,Stephanie's Sailing Adventure,5,true,3999
41717,Mia's Wildlife Rescue,5,true,4499
41718,Pet Day-Care Centre,4.9444,true,5999
41719,Mobile Fashion Boutique,5,true,899
41720,Water Park,4.8889,true,5499
41721,Organic Farm,5,true,8999
41722,Horse Show Trailer,5,true,8999
41921,Extra DOTS - Series 3,4,false,399
41922,Cool Cactus Bracelet,null,false,359
41926,Creative Party Kit,4.9167,true,2199
41928,Bag Tag Narwhal,2,false,359
41929,Bag Tag Leopard,4,false,359
41931,Extra DOTS - Series 4,4.5,false,399
41932,Extra DOTS - Series 5,3,false,399
41933,Music Bracelet,5,false,359
41935,Lots of DOTS,4,true,1799
41936,Pencil Holder,4.5333,true,1799
41937,Multi Pack - Summer Vibes,4.5455,true,2499
41938,Creative Designer Box,4.7727,true,3499
41939,Bag Tag Dragon,5,false,599
41940,Bag Tag Unicorn,4,false,599
41943,Gamer Bracelet with Charms,4.6667,true,599
41944,Candy Kitty Bracelet \u0026 Bag Tag,4.6364,false,1299
41945,Neon Tiger Bracelet \u0026 Bag Tag,4.625,false,1299
41946,Extra DOTS – Series 6,3.75,true,349
41947,Mickey \u0026 Friends Bracelets Mega Pack,null,true,2499
41948,Cute Banana Pen Holder,4.8636,true,1799
41949,Bag Tags Mega Pack - Messaging,4.4667,true,2499
41950,Lots of DOTS – Lettering,4.75,true,1799
41951,Message Board,5,true,1799
41952,Big Message Board,4.5,true,3499
41953,Rainbow Bracelet with Charms,null,true,599
41954,Adhesive Patch,null,true,599
41955,Stitch-on Patch,4.5,false,599
41956,Ice Cream Picture Frames \u0026 Bracelet,4.7143,true,2499
41957,Adhesive Patches Mega Pack,4.8,true,2499
41958,Extra DOTS Series 7 - SPORT,null,true,349
41959,Cute Panda Tray,5,true,1799
41960,Big Box,4.6875,true,1999
41961,Designer Toolkit - Patterns,4.875,true,5999
41962,Unicorn Creative Family Pack,4.9167,true,4499
41963,Mickey Mouse \u0026 Minnie Mouse Stitch-on Patch,3,true,599
41964,Mickey Mouse \u0026 Minnie Mouse Back-to-School Project Box,null,true,3999
42083,Bugatti Chiron,4.6646,true,31999
42090,Getaway Truck,4.5,false,1799
42096,Porsche 911 RSR,4.4423,true,16999
42107,Ducati Panigale V4 R,4.5063,true,5999
42110,Land Rover Defender,4.3571,false,17499
42111,Dom's Dodge Charger,4.3133,true,10499
42114,6x6 Volvo Articulated Hauler,3.8852,false,22999
42115,Lamborghini Sián FKP 37,4.01,true,38999
42116,Skid Steer Loader,4.5,true,899
42117,Racing Plane,5,true,899
42118,Monster Jam™ Grave Digger™,4.7105,true,1799
42119,Monster Jam™ Max-D™,4.8,true,1799
42120,Rescue Hovercraft,4.4,true,2499
42121,Heavy-Duty Excavator,4.4286,true,3499
42122,Jeep® Wrangler,4.6709,true,4499
42123,McLaren Senna GTR™,4.7619,true,4499
42124,Off-Road Buggy,4.0323,false,11499
42125,Ferrari 488 GTE “AF Corse #51”,4.4225,true,16999
42126,Ford® F-150 Raptor,4.6471,true,12499
42127,THE BATMAN - BATMOBILE™,4.4386,true,8999
42128,Heavy-duty Tow Truck,4.8049,true,15999
42129,4x4 Mercedes-Benz Zetros Trial Truck,3.9643,true,28499
42130,BMW M 1000 RR,4.6044,true,21499
42131,App-Controlled Cat® D11 Bulldozer,4.3333,false,42999
42132,Motorcycle,4.75,true,899
42133,Telehandler,4.75,true,899
42134,Monster Jam™ Megalodon™,5,true,1799
42135,Monster Jam™ El Toro Loco™,4.96,false,1799
42136,John Deere 9620R 4WD Tractor,4.963,true,2499
42137,Formula E® Porsche 99X Electric,4.8214,true,4499
42138,Ford Mustang Shelby® GT500®,4.3333,true,4499
42139,All-Terrain Vehicle,4.6818,true,7999
42140,App-Controlled Transformation Vehicle,4.6667,true,12999
42141,McLaren Formula 1™ Race Car,4.5526,true,16999
42143,Ferrari Daytona SP3,4.3176,true,38999
42144,Material Handler,4.5,true,10499
42145,Airbus H175 Rescue Helicopter,4.4118,true,17999
43101,Bandmates,2.9167,true,279
43102,Candy Mermaid BeatBox,4.2564,true,1259
43103,Punk Pirate BeatBox,4.4848,true,1259
43104,Alien DJ BeatBox,4.1282,true,1259
43105,Party Llama BeatBox,4.1795,true,1259
43106,Unicorn DJ BeatBox,4.45,true,1259
43107,HipHop Robot BeatBox,4.2286,true,1259
43109,Metal Dragon BeatBox,4.7,false,1259
43110,Folk Fairy BeatBox,4,false,1259
43111,Candy Castle Stage,4.5556,true,1749
43112,Robo HipHop Car,4.8696,true,1749
43113,K-Pawp Concert,4.8333,true,3149
43114,Punk Pirate Ship,4.8462,true,4199
43115,The Boombox,4.75,true,6299
43179,Mickey Mouse \u0026 Minnie Mouse Buildable Characters,3.9574,true,15999
43187,Rapunzel's Tower,4.3333,true,5999
43189,Elsa and the Nokk Storybook Adventures,4.6667,true,1799
43192,Cinderella’s Royal Carriage,4.8333,false,3499
43193,"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",4,false,2199
43194,Anna and Elsa's Frozen Wonderland,4.9091,true,3999
43195,Belle and Rapunzel's Royal Stables,5,true,4499
43196,Belle and the Beast's Castle,4.9091,true,8999
43197,The Ice Castle,4.52,true,18999
43198,Anna’s Castle Courtyard,5,true,899
43199,Elsa’s Castle Courtyard,5,true,899
43200,Antonio's Magical Door,5,true,1799
43201,Isabela's Magical Door,2.7059,true,1799
43202,The Madrigal House,3.5714,true,4499
43203,"Aurora, Merida and Tiana’s Enchanted Creations",3.5,true,5999
43204,Anna and Olaf's Castle Fun,null,true,2999
43205,Ultimate Adventure Castle,4.7895,true,8999
43206,Cinderella and Prince Charming's Castle,null,true,7499
43207,Ariel’s Underwater Palace,4.9286,true,8999
43208,Jasmine and Mulan’s Adventure,4.75,true,3999
43209,Elsa and the Nokk’s Ice Stable,4.8,true,1299
45002,Tech Machines,3.3333,true,20999
45005,StoryTales,null,true,11999
45018,Build Me \,null,true,7999
45024,STEAM Park,5,true,17999
45025,Coding Express,null,true,21999
45026,Tubes,4.4,true,14499
45028,LEGO® Education My XL World,null,true,24999
45345,LEGO® Education SPIKE™ Essential Set,5,false,27499
45400,LEGO® Education BricQ Motion Prime Set,5,true,10999
45401,LEGO® Education BricQ Motion Essential Set,5,true,10999
45609,LEGO® Technic™ Small Hub,1,true,18999
45612,LEGO® Technic™ Small Hub Battery,null,true,6099
45678,LEGO® Education SPIKE™ Prime Set,4.4286,false,36999
45681,LEGO® Education SPIKE™ Prime Expansion Set,null,true,11599
5004931,LEGO® Birthday Card,null,false,399
5005108,LEGO Erasers (Blue \u0026 Yellow),null,true,699
5005109,LEGO 3-Pack Gel Pen Set,1.3333,true,1050
